lat_adj,lon_adj,acq_date,acq_year,acq_month,acq_day,brightness,confidence,frp,name,nombre,T_mean,rain,weather_code,weather_time,wind_speed,weather_code_description,address_full,state,town,year_month
2.21,-74.02,2020-03-21,2020,3,21,331.9,82.0,20.7,Colombia,tinigua,28.6,0.0,3,2020-03-21,17.4,Cloudy,"city_district     Vda. Bocana del Perdido
town                          La Macarena
state_district                     Ariari
state                                Meta
ISO3166-2-lvl4                     CO-MET
region             RAP (Especial) Central
country                          Colombia
country_code                           co
dtype: object",Meta,LaMacarena,2020-03
2.24,-73.81,2020-02-23,2020,2,23,313.7,88.0,13.3,Colombia,sierra de la macarena,28.2,3.1,53,2020-02-23,24.7,Drizzle,"locality                 Playa El Diablo
town                         La Macarena
state_district                    Ariari
state                               Meta
ISO3166-2-lvl4                    CO-MET
region            RAP (Especial) Central
country                         Colombia
country_code                          co
dtype: object",Meta,LaMacarena,2020-02
2.26,-74.1,2022-02-16,2022,2,16,336.9,87.0,29.1,Colombia,tinigua,27.3,7.3,63,2022-02-16,30.8,Rain,"town                         La Macarena
state_district                    Ariari
state                               Meta
ISO3166-2-lvl4                    CO-MET
region            RAP (Especial) Central
country                         Colombia
country_code                          co
dtype: object",Meta,LaMacarena,2022-02
2.26,-73.94,2022-01-31,2022,1,31,334.9,81.0,26.7,Colombia,tinigua,27.7,0.3,51,2022-01-31,11.1,Light Drizzle,"town                         La Macarena
state_district                    Ariari
state                               Meta
ISO3166-2-lvl4                    CO-MET
region            RAP (Especial) Central
country                         Colombia
country_code                          co
dtype: object",Meta,LaMacarena,2022-01
2.27,-74.09,2022-02-16,2022,2,16,425.3,100.0,441.0,Colombia,tinigua,27.3,8.1,63,2022-02-16,24.9,Rain,"town                         La Macarena
state_district                    Ariari
state                               Meta
ISO3166-2-lvl4                    CO-MET
region            RAP (Especial) Central
country                         Colombia
country_code                          co
dtype: object",Meta,LaMacarena,2022-02
2.27,-74.07,2022-02-13,2022,2,13,328.1,82.0,116.7,Colombia,tinigua,27.3,5.3,63,2022-02-13,18.9,Rain,"town                         La Macarena
state_district                    Ariari
state                               Meta
ISO3166-2-lvl4                    CO-MET
region            RAP (Especial) Central
country                         Colombia
country_code                          co
dtype: object",Meta,LaMacarena,2022-02
2.27,-74.04,2020-01-26,2020,1,26,350.1,95.0,55.7,Colombia,tinigua,28.1,0.8,51,2020-01-26,15.7,Light Drizzle,"town                         La Macarena
state_district                    Ariari
state                               Meta
ISO3166-2-lvl4                    CO-MET
region            RAP (Especial) Central
country                         Colombia
country_code                          co
dtype: object",Meta,LaMacarena,2020-01
2.28,-74.07,2022-02-13,2022,2,13,331.2,85.0,138.3,Colombia,tinigua,27.3,5.3,63,2022-02-13,18.9,Rain,"town                         La Macarena
state_district                    Ariari
state                               Meta
ISO3166-2-lvl4                    CO-MET
region            RAP (Especial) Central
country                         Colombia
country_code                          co
dtype: object",Meta,LaMacarena,2022-02
2.28,-74.07,2022-02-19,2022,2,19,333.9,86.0,91.2,Colombia,tinigua,27.6,5.1,61,2022-02-19,26.8,Light Rain,"town                         La Macarena
state_district                    Ariari
state                               Meta
ISO3166-2-lvl4                    CO-MET
region            RAP (Especial) Central
country                         Colombia
country_code                          co
dtype: object",Meta,LaMacarena,2022-02
2.28,-74.05,2019-02-26,2019,2,26,333.8,84.0,40.1,Colombia,tinigua,27.1,16.6,63,2019-02-26,19.2,Rain,"town                         La Macarena
state_district                    Ariari
state                               Meta
ISO3166-2-lvl4                    CO-MET
region            RAP (Especial) Central
country                         Colombia
country_code                          co
dtype: object",Meta,LaMacarena,2019-02
